#1
#Bezugskoordinaten: 50,7931° N	6,0546° O
#
#Koordinatensystem : Lambert konform konisch	
#Rechtswert        : 3732500 Meter	
#Hochwert          : 2677500 Meter	
#Hoehenlage        : 165 Meter ueber NN	
#Erstellung des Datensatzes im Mai 2016	
#
#Art des TRY       : mittleres Jahr	
#Bezugszeitraum    : 1995-2012	
#Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012	
#	
#Format:(i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)	
#	
#Reihenfolge der Parameter:	
#2 RW Rechtswert                                                    [m]       {3670500;3671500..4389500}"	
#3 HW Hochwert                                                      [m]       {2242500;2243500..3179500}"	
#4 MM Monat                                                                   {1..12}	
#5 DD Tag                                                                     {1..28,30,31}	
#6 HH Stunde (MEZ)                                                            {1..24}	
#7 t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]	
#8 p  Luftdruck in Standorthoehe                                    [hPa]	
#9 WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}"	
#10 WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]	
#11 N  Bedeckungsgrad                                                [Achtel]  {0..8;9}"	
#12 x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]	
#13 RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}	
#14 B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv	
#15 D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv	
#16 A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv	
#17 E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ	
#18 IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}"	
#	
#	
#     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL	
#***
double wetter (8761, 18) 	
19422000	3732500 2677500  8 13 20  16.7  988 229  3.2 7 10.7  86    0    4 369 -437  1
19425600	3732500 2677500  8 13 21  16.5  989 210  4.2 6 10.4  85    0    0 364 -431  1
19429200	3732500 2677500  8 13 22  15.9  989 220  3.5 5  9.9  84    0    0 354 -426  1
19432800	3732500 2677500  8 13 23  15.8  989 221  2.7 5  9.8  85    0    0 349 -423  1
19436400	3732500 2677500  8 13 24  15.6  989 231  3.7 7  9.9  86    0    0 359 -421  1
19440000	3732500 2677500  8 14  1  15.2  989 220  3.4 7 10.0  89    0    0 366 -418  1
19443600	3732500 2677500  8 14  2  15.4  989 220  4.3 7 10.2  91    0    0 366 -415  1
19447200	3732500 2677500  8 14  3  15.5  988 220  4.1 6 10.2  91    0    0 363 -413  1
19450800	3732500 2677500  8 14  4  15.4  988 220  4.0 6 10.2  90    0    0 359 -412  1
19454400	3732500 2677500  8 14  5  15.6  988 230  4.1 7 10.1  89    0    0 363 -411  1
19458000	3732500 2677500  8 14  6  15.5  988 240  4.2 8 10.0  88    0    5 371 -410  1
19461600	3732500 2677500  8 14  7  15.8  988 231  4.3 8 10.2  89    0   38 376 -410  1
19465200	3732500 2677500  8 14  8  16.2  987 230  4.8 8 10.4  89    1   98 377 -408  1
19468800	3732500 2677500  8 14  9  16.8  987 230  5.1 7 10.5  87    9  183 376 -403  1
19472400	3732500 2677500  8 14 10  15.9  987 250  4.8 8 10.6  88   30  264 376 -400  1
19476000	3732500 2677500  8 14 11  17.4  987 240  5.8 7 10.6  87   10  256 377 -400  1
19479600	3732500 2677500  8 14 12  17.8  988 249  4.9 6 10.6  82   41  319 373 -402  1
19483200	3732500 2677500  8 14 13  20.4  987 250  4.6 6 10.8  76  325  351 374 -406  1
19486800	3732500 2677500  8 14 14  21.1  987 251  6.4 5 10.8  68  290  349 374 -413  1
19490400	3732500 2677500  8 14 15  20.8  987 251  7.4 6 10.1  63  136  329 373 -420  1
19494000	3732500 2677500  8 14 16  18.0  987 239  4.1 8 10.3  71    0  147 376 -422  1
19497600	3732500 2677500  8 14 17  17.0  988 250  4.2 8 10.9  85    0   77 377 -417  1
19501200	3732500 2677500  8 14 18  16.3  988 250  4.5 8 10.8  88    2  101 374 -412  1
19504800	3732500 2677500  8 14 19  16.1  988 230  5.5 6 11.1  94    1   54 366 -408  1
19508400	3732500 2677500  8 14 20  14.4  988 240  4.4 8 10.8  97   11   24 364 -405  1
19512000	3732500 2677500  8 14 21  15.3  989 230  4.3 6 10.3  95    0    0 363 -402  1
19515600	3732500 2677500  8 14 22  15.6  989 230  4.4 5 10.5  93    0    0 353 -400  1
19519200	3732500 2677500  8 14 23  15.6  989 230  4.5 6 10.5  93    0    0 353 -399  1
19522800	3732500 2677500  8 14 24  15.5  989 230  5.3 7 10.5  93    0    0 362 -397  1
19526400	3732500 2677500  8 15  1  15.3  988 240  5.9 8 10.6  94    0    0 371 -396  1
19530000	3732500 2677500  8 15  2  15.3  988 240  5.8 8 10.6  95    0    0 378 -394  1
19533600	3732500 2677500  8 15  3  15.4  988 240  4.9 8 10.8  96    0    0 380 -393  1
19537200	3732500 2677500  8 15  4  15.8  988 204  4.9 8 11.0  96    0    0 382 -393  1
19540800	3732500 2677500  8 15  5  15.8  988 270  4.8 8 11.1  96    0    0 383 -393  1
19544400	3732500 2677500  8 15  6  15.8  989 270  5.1 8 11.0  95    0    1 383 -393  1
19548000	3732500 2677500  8 15  7  15.7  989 280  4.5 8 11.0  95    0   20 383 -394  1
19551600	3732500 2677500  8 15  8  15.9  990 310  4.1 8 11.1  96    0   71 383 -394  1
19555200	3732500 2677500  8 15  9  16.1  991 310  5.1 7 11.2  96    0  137 379 -395  1
19558800	3732500 2677500  8 15 10  16.4  992 329  3.6 8 11.2  94    0  156 380 -396  1
19562400	3732500 2677500  8 15 11  17.2  994 339  3.5 7 11.3  92    0  208 383 -400  1
19566000	3732500 2677500  8 15 12  18.5  995 320  2.3 6 11.3  86    1  228 380 -405  1
19569600	3732500 2677500  8 15 13  18.8  996 339  2.1 6 11.0  80    0  218 380 -413  1
19573200	3732500 2677500  8 15 14  18.5  997 300  2.1 8 11.0  80    0  101 389 -427  1
19576800	3732500 2677500  8 15 15  20.9  998 302  2.9 6 10.8  74   13  255 393 -439  1
19580400	3732500 2677500  8 15 16  22.2  997 319  2.4 3 10.7  65  269  268 379 -444  1
19584000	3732500 2677500  8 15 17  22.9  998 329  2.6 3 10.8  62  248  198 370 -447  1
19587600	3732500 2677500  8 15 18  21.8  998 270  3.8 2 11.1  65  151  143 365 -445  1
19591200	3732500 2677500  8 15 19  20.4  999 260  2.6 1 11.6  73   68   86 351 -437  1
19594800	3732500 2677500  8 15 20  19.3  999 250  2.9 4 11.7  79    7   22 354 -427  1
19598400	3732500 2677500  8 15 21  18.9 1000 290  2.3 6 11.8  84    0    0 373 -418  1
19602000	3732500 2677500  8 15 22  18.3 1001 270  2.6 6 11.8  86    0    0 381 -411  1
19605600	3732500 2677500  8 15 23  17.7 1002 280  2.3 6 11.6  89    0    0 379 -406  1
19609200	3732500 2677500  8 15 24  17.0 1003 270  2.0 4 11.4  91    0    0 366 -401  1
19612800	3732500 2677500  8 16  1  16.3 1002 260  1.4 1 11.1  93    0    0 339 -398  1
19616400	3732500 2677500  8 16  2  15.7 1001 230  1.2 0 10.8  94    0    0 316 -396  1
19620000	3732500 2677500  8 16  3  15.4 1001 240  1.7 1 10.7  96    0    0 314 -395  1
19623600	3732500 2677500  8 16  4  14.9 1001 240  1.5 3 10.6  97    0    0 323 -394  1
19627200	3732500 2677500  8 16  5  14.6 1001 190  1.8 4 10.3  97    0    0 333 -393  1
19630800	3732500 2677500  8 16  6  14.3 1001 180  1.5 2 10.0  96    0    5 325 -393  1
19634400	3732500 2677500  8 16  7  15.1 1001 210  2.2 4 10.0  95    9   60 325 -394  1
19638000	3732500 2677500  8 16  8  16.7 1001 200  2.2 4 10.4  90   75  134 335 -399  1
19641600	3732500 2677500  8 16  9  19.0 1002 211  2.8 3 10.9  84  239  160 338 -409  1
19645200	3732500 2677500  8 16 10  20.5 1002 240  3.4 3 11.2  76  329  198 341 -423  1
19648800	3732500 2677500  8 16 11  21.7 1001 252  3.6 4 10.6  67  312  266 351 -439  1
19652400	3732500 2677500  8 16 12  21.7 1001 250  3.7 4 10.5  64  313  301 356 -453  1
19656000	3732500 2677500  8 16 13  23.5 1001 250  3.3 4 10.6  61  397  280 361 -464  1
19659600	3732500 2677500  8 16 14  24.6 1000 240  3.3 3 10.4  55  520  205 362 -471  1
19663200	3732500 2677500  8 16 15  25.0 1000 241  3.1 3  9.9  50  518  162 362 -474  1
19666800	3732500 2677500  8 16 16  25.5  999 240  3.8 3  9.8  48  435  143 362 -473  1
19670400	3732500 2677500  8 16 17  24.7  998 221  3.1 3  9.9  49  347  110 361 -471  1
19674000	3732500 2677500  8 16 18  24.4  998 230  1.9 2 10.0  51  213   92 355 -464  1
19677600	3732500 2677500  8 16 19  22.8  997 200  2.8 4 10.3  55   84   63 352 -454  1
19681200	3732500 2677500  8 16 20  21.4  997 219  1.5 4 10.3  61   10   19 350 -441  1
19684800	3732500 2677500  8 16 21  19.7  996 180  1.9 5 10.7  69    0    0 346 -429  1
19688400	3732500 2677500  8 16 22  19.2  996 189  2.3 3 10.7  74    0    0 338 -421  1
19692000	3732500 2677500  8 16 23  18.6  996 180  2.4 3 10.4  74    0    0 329 -415  1
19695600	3732500 2677500  8 16 24  17.9  996 199  2.1 2 10.1  75    0    0 324 -410  1
19699200	3732500 2677500  8 17  1  18.1  995 199  2.2 3  9.9  75    0    0 324 -407  1
19702800	3732500 2677500  8 17  2  18.2  994 190  2.8 6  9.8  74    0    0 336 -405  1
19706400	3732500 2677500  8 17  3  18.1  994 190  2.2 7  9.8  74    0    0 346 -404  1
19710000	3732500 2677500  8 17  4  18.3  993 181  2.4 7 10.0  75    0    0 350 -403  1
19713600	3732500 2677500  8 17  5  18.1  993 192  2.8 8 10.2  76    0    0 354 -404  1
19717200	3732500 2677500  8 17  6  18.4  992 180  2.6 7 10.2  76    0    0 355 -407  1
19720800	3732500 2677500  8 17  7  18.7  992 171  2.5 7 10.3  75    0   12 355 -412  1
19724400	3732500 2677500  8 17  8  18.6  991 170  2.1 8 10.5  76    0   39 359 -420  1
19728000	3732500 2677500  8 17  9  19.5  990 139  1.8 7 10.7  76   25  200 363 -432  1
19731600	3732500 2677500  8 17 10  22.6  989 189  3.9 4 10.7  67  303  237 362 -447  1
19735200	3732500 2677500  8 17 11  23.5  989 230  4.5 4 10.8  59  414  253 365 -463  1
19738800	3732500 2677500  8 17 12  24.2  989 241  4.0 5 11.3  60  318  331 374 -478  1
19742400	3732500 2677500  8 17 13  23.7  989 260  4.2 7 11.6  60  123  356 384 -491  1
19746000	3732500 2677500  8 17 14  23.4  989 261  4.1 7 11.4  61   23  281 389 -500  1
19749600	3732500 2677500  8 17 15  22.6  989 242  4.0 7 11.6  64   17  253 389 -503  1
19753200	3732500 2677500  8 17 16  22.7  989 252  3.9 7 12.1  68   66  255 391 -501  1
19756800	3732500 2677500  8 17 17  22.6  989 251  3.8 8 12.3  69   25  186 396 -493  1
19760400	3732500 2677500  8 17 18  22.1  989 250  4.2 8 12.5  72    8  111 400 -481  1
19764000	3732500 2677500  8 17 19  21.4  989 248  4.1 7 12.6  75    2   53 396 -469  1
19767600	3732500 2677500  8 17 20  20.2  988 309  1.6 6 12.3  77    6   18 386 -458  1
19771200	3732500 2677500  8 17 21  19.3  989 278  1.7 4 12.2  82    0    0 371 -447  1
19774800	3732500 2677500  8 17 22  18.6  989 219  1.5 3 12.0  85    0    0 355 -439  1
19778400	3732500 2677500  8 17 23  18.4  989 180  2.7 5 11.9  86    0    0 357 -434  1
19782000	3732500 2677500  8 17 24  18.7  989 190  2.5 7 11.9  87    0    0 373 -429  1
19785600	3732500 2677500  8 18  1  18.0  988 210  2.9 8 12.3  90    0    0 386 -423  1
19789200	3732500 2677500  8 18  2  17.0  988 200  3.5 8 12.1  94    0    0 387 -419  1
19792800	3732500 2677500  8 18  3  16.5  988 200  2.5 7 11.5  94    0    0 378 -418  1
19796400	3732500 2677500  8 18  4  16.0  988 200  2.5 4 11.2  94    0    0 353 -417  1
19800000	3732500 2677500  8 18  5  15.8  988 210  3.1 3 10.9  94    0    0 328 -415  1
19803600	3732500 2677500  8 18  6  16.0  988 220  2.6 4 11.0  94    0    3 329 -413  1
19807200	3732500 2677500  8 18  7  16.4  988 200  2.9 5 11.1  94    0   44 339 -413  1
19810800	3732500 2677500  8 18  8  17.4  988 190  4.0 6 11.2  91   13  121 352 -416  1
19814400	3732500 2677500  8 18  9  18.5  988 200  3.2 5 11.6  87   29  195 357 -424  1
19818000	3732500 2677500  8 18 10  19.3  988 210  3.0 6 11.8  84   52  255 364 -431  1
19821600	3732500 2677500  8 18 11  21.2  988 210  3.6 5 12.2  80  440  195 372 -432  1
19825200	3732500 2677500  8 18 12  22.0  988 201  4.3 6 12.0  72  131  322 379 -443  1
19828800	3732500 2677500  8 18 13  22.5  988 211  3.5 7 11.7  68  107  325 391 -458  1
19832400	3732500 2677500  8 18 14  23.4  988 230  3.5 6 11.6  64  204  316 394 -465  1
19836000	3732500 2677500  8 18 15  23.6  987 230  3.4 7 11.2  60   48  271 395 -472  1
19839600	3732500 2677500  8 18 16  22.9  987 201  2.3 7 11.3  61    7  188 397 -474  1
19843200	3732500 2677500  8 18 17  20.6  987 181  2.0 8 11.1  66    0   60 393 -469  1
19846800	3732500 2677500  8 18 18  18.4  987 190  1.9 7 11.0  75    0   55 385 -460  1
19850400	3732500 2677500  8 18 19  17.8  986 179  2.0 8 11.5  86    1   46 380 -450  1
19854000	3732500 2677500  8 18 20  17.9  986 176  2.0 8 11.7  88    0    4 382 -441  1
19857600	3732500 2677500  8 18 21  17.7  986 168  1.7 8 11.6  88    0    0 382 -431  1
19861200	3732500 2677500  8 18 22  18.1  986 115  2.7 8 11.7  89    0    0 380 -424  1
19864800	3732500 2677500  8 18 23  17.2  986 159  2.0 7 12.0  92    0    0 375 -421  1
19868400	3732500 2677500  8 18 24  17.0  986 190  2.9 5 11.9  94    0    0 361 -420  1
19872000	3732500 2677500  8 19  1  17.2  986 200  2.9 6 12.0  95    0    0 358 -420  1
19875600	3732500 2677500  8 19  2  17.7  985 199  3.3 7 12.2  95    0    0 370 -418  1
19879200	3732500 2677500  8 19  3  17.7  985 210  3.3 8 12.3  94    0    0 380 -418  1
19882800	3732500 2677500  8 19  4  17.7  985 199  4.0 8 12.4  94    0    0 383 -418  1
19886400	3732500 2677500  8 19  5  17.4  985 200  4.0 7 12.2  94    0    0 376 -416  1
19890000	3732500 2677500  8 19  6  17.3  985 210  5.0 6 11.9  93    0    1 367 -412  1
19893600	3732500 2677500  8 19  7  17.8  986 210  5.3 5 11.7  90   24   63 359 -411  1
19897200	3732500 2677500  8 19  8  18.8  986 210  4.8 4 11.6  85   81  129 354 -416  1
19900800	3732500 2677500  8 19  9  20.7  986 220  5.7 4 11.6  78  201  172 353 -427  1
19904400	3732500 2677500  8 19 10  21.8  987 210  5.4 5 11.3  69  184  253 360 -441  1
19908000	3732500 2677500  8 19 11  22.6  987 223  4.8 7 11.2  65  123  305 370 -456  1
19911600	3732500 2677500  8 19 12  24.0  988 190  4.7 6 11.3  61  184  328 377 -470  1
19915200	3732500 2677500  8 19 13  25.4  987 191  4.9 6 11.1  56  444  253 381 -482  1
19918800	3732500 2677500  8 19 14  25.3  987 190  5.3 5 11.4  55  335  287 385 -491  1
19922400	3732500 2677500  8 19 15  26.9  987 190  6.2 4 11.8  54  431  204 386 -495  1
19926000	3732500 2677500  8 19 16  26.6  986 171  5.1 4 12.0  53  294  206 388 -493  1
19929600	3732500 2677500  8 19 17  25.6  985 170  3.9 6 12.1  56   96  190 392 -485  1
19933200	3732500 2677500  8 19 18  23.8  984 170  2.6 7 12.2  61    0   52 397 -477  1
19936800	3732500 2677500  8 19 19  21.0  984 260  3.0 6 13.4  76    0   19 393 -468  1
19940400	3732500 2677500  8 19 20  17.9  985 201  2.3 6 13.2  90    0    4 381 -456  1
19944000	3732500 2677500  8 19 21  17.5  986 199  3.1 6 12.2  93    0    0 376 -440  1
19947600	3732500 2677500  8 19 22  17.9  985 220  5.7 8 12.2  93    0    0 380 -429  1
19951200	3732500 2677500  8 19 23  17.7  986 220  3.9 8 12.1  92    0    0 387 -421  1
19954800	3732500 2677500  8 19 24  17.5  986 230  3.6 8 11.8  91    0    0 388 -412  1
19958400	3732500 2677500  8 20  1  17.5  986 210  4.4 7 11.7  91    0    0 384 -408  1
19962000	3732500 2677500  8 20  2  17.5  986 200  6.9 4 11.7  90    0    0 369 -407  1
19965600	3732500 2677500  8 20  3  17.6  986 210  5.6 2 11.4  88    0    0 350 -404  1
19969200	3732500 2677500  8 20  4  17.6  986 210  6.3 1 11.2  86    0    0 338 -401  1
19972800	3732500 2677500  8 20  5  17.6  986 210  7.7 2 10.9  84    0    0 336 -399  1
19976400	3732500 2677500  8 20  6  17.4  986 210  7.5 2 10.6  82    0    4 338 -397  1
19980000	3732500 2677500  8 20  7  17.7  986 210  7.9 2 10.3  79   19   65 334 -397  1
19983600	3732500 2677500  8 20  8  18.5  987 211  8.4 3 10.0  75   61  141 338 -401  1
19987200	3732500 2677500  8 20  9  19.5  987 210  9.0 3  9.9  70  102  215 343 -409  1
19990800	3732500 2677500  8 20 10  20.8  987 220  9.0 2  9.6  63  272  244 344 -421  1
19994400	3732500 2677500  8 20 11  21.1  987 221 10.0 3  9.4  59  284  303 348 -432  1
19998000	3732500 2677500  8 20 12  22.2  988 230  9.2 2  9.3  56  362  312 351 -444  1
20001600	3732500 2677500  8 20 13  22.6  988 240  9.0 2  9.3  54  458  282 350 -454  1
20005200	3732500 2677500  8 20 14  23.5  989 240  7.2 2  9.6  53  461  265 353 -460  1
20008800	3732500 2677500  8 20 15  23.8  989 231  6.5 3  9.3  50  334  281 358 -464  1
20012400	3732500 2677500  8 20 16  23.4  989 220  7.2 3  9.1  49  247  250 359 -463  1
20016000	3732500 2677500  8 20 17  23.6  989 240  5.6 3  9.0  48  199  189 358 -460  1
20019600	3732500 2677500  8 20 18  22.7  989 230  5.8 2  9.1  50  128  126 354 -452  1
20023200	3732500 2677500  8 20 19  21.8  989 220  4.7 2  9.4  54   68   74 347 -441  1
20026800	3732500 2677500  8 20 20  20.5  989 210  3.5 1  9.5  59    7   19 341 -430  1
20030400	3732500 2677500  8 20 21  19.5  989 190  3.5 1  9.6  64    0    0 333 -421  1
20034000	3732500 2677500  8 20 22  18.7  989 210  3.8 2  9.7  69    0    0 333 -415  1
20037600	3732500 2677500  8 20 23  18.4  989 210  3.5 2  9.8  72    0    0 336 -410  1
20041200	3732500 2677500  8 20 24  18.1  989 190  4.4 1  9.7  72    0    0 331 -407  1
20044800	3732500 2677500  8 21  1  17.8  989 200  4.1 2  9.5  72    0    0 328 -404  1
20048400	3732500 2677500  8 21  2  17.6  989 200  4.4 2  9.4  72    0    0 330 -401  1
20052000	3732500 2677500  8 21  3  17.1  989 210  4.3 4  9.3  73    0    0 337 -399  1
20055600	3732500 2677500  8 21  4  17.0  989 210  4.6 7  9.3  75    0    0 354 -396  1
20059200	3732500 2677500  8 21  5  16.3  989 230  5.0 6  9.6  79    0    0 359 -394  1
20062800	3732500 2677500  8 21  6  16.1  989 220  4.8 4  9.7  82    0    1 345 -392  1
20066400	3732500 2677500  8 21  7  16.2  989 230  5.6 4  9.5  81    6   53 335 -392  1
20070000	3732500 2677500  8 21  8  16.7  989 230  5.9 6  9.4  78   12  113 341 -397  1
20073600	3732500 2677500  8 21  9  17.3  989 249  5.8 7  9.2  74   10  166 353 -406  1
20077200	3732500 2677500  8 21 10  18.0  990 240  5.5 6  9.5  73   90  250 355 -415  1
20080800	3732500 2677500  8 21 11  19.0  990 240  6.4 4  9.4  69  274  255 348 -426  1
20084400	3732500 2677500  8 21 12  20.2  990 231  6.0 6  9.1  62  158  310 354 -436  1
20088000	3732500 2677500  8 21 13  20.8  990 230  7.1 5  8.9  58  258  302 363 -442  1
20091600	3732500 2677500  8 21 14  21.9  990 240  5.2 4  8.5  52  221  293 358 -448  1
20095200	3732500 2677500  8 21 15  21.4  990 240  4.5 4  8.2  50  255  250 354 -447  1
20098800	3732500 2677500  8 21 16  21.1  989 231  5.2 4  7.9  49  256  199 351 -440  1
20102400	3732500 2677500  8 21 17  19.6  989 240  4.4 6  8.2  54   11  152 355 -434  1
20106000	3732500 2677500  8 21 18  16.7  989 210  4.0 7  9.1  68    4   94 360 -427  1
20109600	3732500 2677500  8 21 19  16.3  989 210  3.3 7  9.7  81   33   54 359 -420  1
20113200	3732500 2677500  8 21 20  16.0  989 190  3.7 8  9.5  80    6   14 361 -414  1
20116800	3732500 2677500  8 21 21  15.6  989 200  4.6 6  9.2  80    0    0 356 -407  1
20120400	3732500 2677500  8 21 22  15.0  989 210  3.8 6  9.0  80    0    0 345 -399  1
20124000	3732500 2677500  8 21 23  14.7  989 210  3.7 5  8.7  80    0    0 339 -397  1
20127600	3732500 2677500  8 21 24  14.1  989 210  2.7 5  8.5  81    0    0 332 -397  1
20131200	3732500 2677500  8 22  1  13.7  989 230  3.3 3  8.5  83    0    0 323 -398  1
20134800	3732500 2677500  8 22  2  13.5  989 230  3.7 4  8.5  85    0    0 318 -396  1
20138400	3732500 2677500  8 22  3  13.7  989 220  3.2 6  8.5  85    0    0 332 -394  1
20142000	3732500 2677500  8 22  4  13.7  990 230  3.4 8  8.4  84    0    0 351 -391  1
20145600	3732500 2677500  8 22  5  13.4  989 240  3.3 7  8.4  85    0    0 357 -389  1
20149200	3732500 2677500  8 22  6  13.6  989 230  3.0 6  8.5  85    0    0 349 -387  1
20152800	3732500 2677500  8 22  7  14.4  990 230  3.4 6  8.7  85    4   45 345 -386  1
20156400	3732500 2677500  8 22  8  15.1  991 240  4.0 6  9.0  84   37  110 347 -388  1
20160000	3732500 2677500  8 22  9  15.3  991 240  2.9 8  9.2  84    1  128 360 -390  1
20163600	3732500 2677500  8 22 10  16.7  991 241  2.9 7  9.3  80   50  228 366 -397  1
20167200	3732500 2677500  8 22 11  17.2  992 251  3.0 7  9.4  76   61  259 362 -410  1
20170800	3732500 2677500  8 22 12  15.8  992 290  3.0 7  9.7  81    1  205 359 -423  1
20174400	3732500 2677500  8 22 13  15.1  993 300  5.8 8 10.1  90    0   98 356 -434  1
20178000	3732500 2677500  8 22 14  14.4  994 328  3.4 7  9.8  91    0  106 350 -443  1
20181600	3732500 2677500  8 22 15  14.5  994 329  4.9 7  9.0  86    0  142 341 -445  1
20185200	3732500 2677500  8 22 16  16.5  996 320  3.2 6  8.6  77  136  191 340 -443  1
20188800	3732500 2677500  8 22 17  15.2  997 249  2.6 7  8.6  75   71  154 340 -439  1
20192400	3732500 2677500  8 22 18  13.4  997 241  3.7 8  8.8  85    2   84 341 -430  1
20196000	3732500 2677500  8 22 19  13.9  998 300  2.9 6  8.9  90   75   36 335 -419  1
20199600	3732500 2677500  8 22 20  13.3  999 330  2.1 6  8.8  89    9   12 328 -408  1
20203200	3732500 2677500  8 22 21  12.8 1000 250  2.6 5  8.6  90    0    0 321 -401  1
20206800	3732500 2677500  8 22 22  11.9 1001 250  2.1 4  8.2  90    0    0 311 -396  1
20210400	3732500 2677500  8 22 23  11.7 1001 250  2.1 3  7.9  90    0    0 302 -391  1
20214000	3732500 2677500  8 22 24  11.3 1002 280  1.4 1  7.7  90    0    0 289 -384  1
20217600	3732500 2677500  8 23  1  10.5 1002 240  2.3 1  7.6  92    0    0 278 -377  1
20221200	3732500 2677500  8 23  2  10.3 1002 220  1.8 2  7.5  94    0    0 278 -371  1
20224800	3732500 2677500  8 23  3   9.9 1002 209  1.5 3  7.4  94    0    0 282 -368  1
20228400	3732500 2677500  8 23  4  10.0 1002 190  1.5 5  7.3  95    0    0 290 -365  1
20232000	3732500 2677500  8 23  5  10.0 1002 170  1.2 7  7.4  95    0    0 304 -363  1
20235600	3732500 2677500  8 23  6  10.0 1002 190  1.3 8  7.3  94    0    0 316 -362  1
20239200	3732500 2677500  8 23  7  10.9 1002   0  0.4 7  7.5  94    5   49 318 -362  1
20242800	3732500 2677500  8 23  8  12.5 1003 190  1.0 6  7.7  89   47  123 312 -367  1
20246400	3732500 2677500  8 23  9  14.4 1003 189  1.4 6  7.7  79   79  191 313 -378  1
20250000	3732500 2677500  8 23 10  16.4 1003 199  2.8 7  7.2  66  140  247 321 -394  1
20253600	3732500 2677500  8 23 11  17.5 1003 199  2.1 7  7.0  58  186  285 330 -411  1
20257200	3732500 2677500  8 23 12  18.6 1004 180  1.5 7  6.9  53  199  309 334 -426  1
20260800	3732500 2677500  8 23 13  19.4 1003 219  2.3 6  6.7  48  357  271 335 -438  1
20264400	3732500 2677500  8 23 14  20.9 1003 220  2.3 4  7.0  47  480  199 335 -445  1
20268000	3732500 2677500  8 23 15  20.9 1002 228  1.9 3  6.9  44  376  211 331 -447  1
20271600	3732500 2677500  8 23 16  21.4 1002 204  1.7 3  6.4  40  310  181 327 -446  1
20275200	3732500 2677500  8 23 17  20.4 1002 229  1.9 4  6.2  40  175  160 327 -442  1
20278800	3732500 2677500  8 23 18  19.8 1002 132  1.8 8  6.2  42   49  112 336 -434  1
20282400	3732500 2677500  8 23 19  18.5 1001 178  1.9 4  6.3  45   31   52 333 -421  1
20286000	3732500 2677500  8 23 20  16.5 1001 127  1.9 4  6.9  55    3   10 316 -407  1
20289600	3732500 2677500  8 23 21  15.1 1000 179  1.4 3  7.4  65    0    0 308 -395  1
20293200	3732500 2677500  8 23 22  13.3 1001 170  1.9 2  7.2  70    0    0 296 -386  1
20296800	3732500 2677500  8 23 23  12.6 1001 160  1.9 2  6.8  73    0    0 288 -381  1
20300400	3732500 2677500  8 23 24  12.5 1000 170  2.3 1  6.7  73    0    0 283 -379  1
20304000	3732500 2677500  8 24  1  12.5 1000 169  2.4 1  6.5  72    0    0 279 -378  1
20307600	3732500 2677500  8 24  2  12.1 1000 169  1.9 1  6.3  70    0    0 277 -376  1
20311200	3732500 2677500  8 24  3  11.7 1000 149  2.1 2  6.3  71    0    0 278 -376  1
20314800	3732500 2677500  8 24  4  11.2 1000  81  2.7 4  6.4  75    0    0 285 -377  1
20318400	3732500 2677500  8 24  5  11.3  999 119  1.5 6  6.5  77    0    0 299 -377  1
20322000	3732500 2677500  8 24  6  11.7  999  62  2.4 7  6.6  77    0    0 311 -378  1
20325600	3732500 2677500  8 24  7  11.9  998  41  1.1 8  6.9  79    0   38 320 -381  1
20329200	3732500 2677500  8 24  8  12.9  998  51  1.1 7  7.4  81    6  103 322 -384  1
20332800	3732500 2677500  8 24  9  15.5  998 149  1.5 7  7.9  77   48  197 327 -389  1
20336400	3732500 2677500  8 24 10  17.8  998 198  2.0 7  8.4  70   75  262 336 -397  1
20340000	3732500 2677500  8 24 11  19.6  998 179  2.5 7  8.8  64  123  304 346 -409  1
20343600	3732500 2677500  8 24 12  22.1  997 189  2.9 6  8.8  56  276  318 351 -425  1
20347200	3732500 2677500  8 24 13  23.8  996 199  3.5 5  8.4  47  421  278 354 -439  1
20350800	3732500 2677500  8 24 14  22.7  996 210  3.9 6  8.2  45  126  314 356 -442  1
20354400	3732500 2677500  8 24 15  22.6  996 168  3.8 6  8.6  49   95  280 361 -445  1
20358000	3732500 2677500  8 24 16  21.6  996 219  3.2 7  9.3  55   18  200 365 -453  1
20361600	3732500 2677500  8 24 17  21.7  995 190  3.8 6  9.7  59   31  165 364 -457  1
