#	RW	HW	MM	DD	HH	t	p	WR	WG	N	x	RF	B	D	A	E	IL
#***																	
double	wetter	(8771,	18)														
381600	3732500	2677500	1	5	11	7.5	970	190	10.5	8	5.8	89	0	23	341	-349	1
385200	3732500	2677500	1	5	12	8.1	969	200	10.5	7	6.1	89	0	40	339	-351	1
388800	3732500	2677500	1	5	13	8.5	968	200	10.5	7	6.3	89	0	50	333	-353	1
392400	3732500	2677500	1	5	14	8.6	967	201	9.6	8	6.5	89	0	39	342	-355	1
396000	3732500	2677500	1	5	15	9.4	967	210	10.4	8	6.6	88	0	41	354	-356	1
399600	3732500	2677500	1	5	16	10.0	967	210	8.1	8	6.8	86	0	24	357	-358	1
403200	3732500	2677500	1	5	17	9.9	967	211	7.9	8	7.0	88	0	5	358	-359	1
406800	3732500	2677500	1	5	18	9.6	968	221	7.2	8	7.3	92	0	0	357	-360	1
410400	3732500	2677500	1	5	19	8.4	968	240	5.7	8	7.0	93	0	0	354	-360	1
414000	3732500	2677500	1	5	20	8.2	969	230	4.7	7	6.7	93	0	0	340	-360	1
417600	3732500	2677500	1	5	21	8.3	970	220	4.5	7	6.6	93	0	0	327	-360	1
421200	3732500	2677500	1	5	22	8.3	970	200	3.6	8	6.7	94	0	0	337	-356	1
424800	3732500	2677500	1	5	23	9.3	969	200	4.9	8	7.0	94	0	0	349	-352	1
428400	3732500	2677500	1	5	24	10.0	969	200	6.3	8	7.3	93	0	0	352	-348	1
432000	3732500	2677500	1	6	1	9.7	968	230	6.4	8	7.4	94	0	0	352	-344	1
435600	3732500	2677500	1	6	2	10.0	969	220	5.7	8	7.6	95	0	0	350	-342	1
439200	3732500	2677500	1	6	3	10.1	969	310	5.1	8	7.7	96	0	0	348	-339	1
442800	3732500	2677500	1	6	4	6.1	969	310	5.5	8	6.8	96	0	0	337	-335	1
446400	3732500	2677500	1	6	5	5.7	971	260	6.3	8	5.9	98	0	0	327	-331	1
450000	3732500	2677500	1	6	6	5.8	973	250	7.0	8	5.9	98	0	0	324	-328	1
453600	3732500	2677500	1	6	7	6.0	975	250	6.1	8	5.7	95	0	0	319	-325	1
457200	3732500	2677500	1	6	8	6.2	976	231	6.6	8	5.6	93	0	0	315	-324	1
460800	3732500	2677500	1	6	9	6.1	978	230	6.2	8	5.6	92	0	0	313	-323	1
464400	3732500	2677500	1	6	10	6.3	979	221	6.3	7	5.7	93	0	7	307	-324	1
468000	3732500	2677500	1	6	11	6.8	980	221	6.3	8	5.7	91	0	26	306	-326	1
471600	3732500	2677500	1	6	12	6.8	981	221	6.3	6	5.6	88	4	89	298	-330	1
475200	3732500	2677500	1	6	13	6.8	982	230	6.2	5	5.5	86	6	104	281	-335	1
478800	3732500	2677500	1	6	14	7.3	982	231	7.5	7	5.4	84	2	81	286	-338	1
482400	3732500	2677500	1	6	15	7.3	982	221	6.1	6	5.5	84	12	79	290	-339	1
486000	3732500	2677500	1	6	16	6.9	983	231	5.2	7	5.5	85	14	46	291	-338	1
489600	3732500	2677500	1	6	17	6.7	984	230	4.5	7	5.4	86	1	8	295	-335	1
493200	3732500	2677500	1	6	18	6.3	984	231	4.4	7	5.4	87	0	0	294	-332	1
496800	3732500	2677500	1	6	19	6.0	985	230	4.4	5	5.3	88	0	0	285	-331	1
500400	3732500	2677500	1	6	20	5.5	986	210	3.7	5	5.2	89	0	0	275	-331	1
504000	3732500	2677500	1	6	21	5.4	986	220	4.4	6	5.2	90	0	0	280	-331	1
507600	3732500	2677500	1	6	22	5.3	987	220	4.3	7	5.1	90	0	0	291	-331	1
511200	3732500	2677500	1	6	23	5.1	988	220	4.4	7	5.1	90	0	0	298	-331	1
514800	3732500	2677500	1	6	24	4.9	988	220	3.7	7	4.9	89	0	0	296	-331	1
518400	3732500	2677500	1	7	1	4.5	988	200	3.8	6	4.9	89	0	0	289	-330	1
522000	3732500	2677500	1	7	2	4.6	989	190	3.7	3	4.8	89	0	0	266	-328	1
525600	3732500	2677500	1	7	3	4.3	989	190	4.4	1	4.7	89	0	0	239	-327	1
529200	3732500	2677500	1	7	4	4.3	989	215	5.2	1	4.6	88	0	0	228	-326	1
532800	3732500	2677500	1	7	5	4.3	989	226	3.7	1	4.6	86	0	0	228	-325	1
536400	3732500	2677500	1	7	6	3.9	989	200	3.0	0	4.4	85	0	0	219	-325	1
