Koordinatensystem : Lambert konform konisch
Rechtswert        : 3732500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 165 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3732500 2677500  1  3 24   4.9  980 350  2.9 8  5.1  89    0    0 313 -341  0
3732500 2677500  1  4  1   2.7  980 350  3.3 4  4.7  91    0    0 284 -340  0
3732500 2677500  1  4  2   1.5  981 360  3.3 4  4.3  93    0    0 254 -338  0
3732500 2677500  1  4  3   0.9  982  20  3.4 8  4.0  93    0    0 272 -337  0
3732500 2677500  1  4  4   0.7  983  30  2.6 8  3.8  93    0    0 295 -339  0
3732500 2677500  1  4  5   0.4  984  20  4.7 8  3.7  91    0    0 294 -338  0
3732500 2677500  1  4  6  -0.4  985  20  3.8 8  3.5  89    0    0 291 -337  0
3732500 2677500  1  4  7  -0.6  985  30  4.1 8  3.2  86    0    0 289 -336  0
3732500 2677500  1  4  8  -1.0  985  30  3.8 7  3.0  82    0    0 282 -335  0
3732500 2677500  1  4  9  -1.5  985  22  4.3 7  2.8  79    0    0 274 -334  0
3732500 2677500  1  4 10  -1.9  986  30  4.9 7  2.7  78    2   39 272 -335  0
3732500 2677500  1  4 11  -1.8  986  40  4.6 6  2.6  76    3   67 265 -337  0
3732500 2677500  1  4 12  -2.0  986  31  5.8 7  2.6  77    2   80 263 -340  0
3732500 2677500  1  4 13  -2.2  986  21  5.5 8  2.5  76    0   50 274 -343  0
3732500 2677500  1  4 14  -2.2  986  30  6.1 8  2.4  72    0   27 278 -345  0
3732500 2677500  1  4 15  -2.4  986  21  5.8 7  2.5  76    0   43 272 -344  0
3732500 2677500  1  4 16  -2.5  987  20  4.8 8  2.5  78    0   31 272 -342  0
3732500 2677500  1  4 17  -2.8  988  20  5.0 8  2.6  80    0    3 278 -337  0
3732500 2677500  1  4 18  -2.7  988  20  5.0 8  2.7  86    0    0 278 -333  0
3732500 2677500  1  4 19  -2.4  989  20  5.2 7  2.7  85    0    0 274 -330  0
3732500 2677500  1  4 20  -2.4  990  11  5.0 8  2.7  83    0    0 276 -329  0
3732500 2677500  1  4 21  -2.8  990  10  4.8 8  2.7  86    0    0 283 -328  0
3732500 2677500  1  4 22  -2.7  991  10  4.9 8  2.8  88    0    0 283 -329  0
3732500 2677500  1  4 23  -2.8  992  10  4.7 8  2.7  86    0    0 283 -329  0
3732500 2677500  1  4 24  -2.7  992  10  4.4 8  2.7  84    0    0 283 -330  0
3732500 2677500  1  5  1  -2.7  993  10  4.3 8  2.6  82    0    0 283 -331  0
3732500 2677500  1  5  2  -2.9  993  10  3.9 7  2.6  83    0    0 276 -332  0
3732500 2677500  1  5  3  -3.1  993   0  3.7 7  2.6  84    0    0 270 -332  0
3732500 2677500  1  5  4  -3.6  994   0  3.1 8  2.6  85    0    0 274 -331  0
3732500 2677500  1  5  5  -4.1  994 350  3.4 8  2.5  86    0    0 277 -332  0
3732500 2677500  1  5  6  -4.2  994 340  2.3 8  2.4  86    0    0 276 -332  0
